Query	Document
when was the first wonder woman comic released	"Wonder Woman is a superhero appearing in American comic books published by DC Comics. The character is a founding member of the Justice League. The character first appeared in ""All Star Comics"" #8 in October 1941 with her first feature in ""Sensation Comics"" #1, January 1942. The ""Wonder Woman"" title has been published by DC Comics almost continuously except for a brief hiatus in 1986. In her homeland, the island nation of Themyscira, her official title is Princess Diana of Themyscira, Daughter of Hippolyta. She has no father, she was created by Zeus, which makes her a demigod. When blending into the society outside of her homeland, she adopts her civilian identity Diana Prince.
"
when was the first documented case of tool mark identification	"The ability to compare ammunition is a direct result of the invention of rifling around the turn of the 16th century. By forcing the bullet to spin as it travels down the barrel of the weapon the bullet's accuracy greatly increases. At the same time, the rifling leaves marks on the bullet that are indicative of that particular barrel. Prior to mass production of firearms, each barrel and bullet mold was hand made by gunsmiths making them unique. The first successful documented case of forensic firearm examination occurred in 1835 when a member of the Bow Street Runners in London matched a recovered bullet from a murder victim to a specific mold in a suspect's home confirming that he made the bullet. Further evidence that the bullet maker was the perpetrator was found in his home and he was convicted. As manufacturing and automation replaced hand tools, the ability to compare bullets became impossible due to the standardization of molds within a specific company. However, experts in the field postulated that there were microscopic differences on each barrel left during the manufacturing process. These differences were a result of wear on the machines and since each new weapon caused a tiny amount of wear, each barrel would be slightly different from every other barrel produced by that company. Also, each bullet fired from a specific barrel would be printed with the same marks, allowing investigators to identify the weapon that fired a specific bullet.
"
when was it was not death for i stood up published	"""I Write Sins Not Tragedies"" is Panic! at the Disco's first single to have a music video. (""The Only Difference Between Martyrdom and Suicide Is Press Coverage"" was the first single, but no video was filmed.) The video for the song takes place at a strange, circus-themed wedding played by the Lucent Dossier Vaudeville Cirque.
"
where does cleavage of the peptide bond by chymotrypsin occur	"""In vivo"", chymotrypsin is a proteolytic enzyme (serine protease) acting in the digestive systems of many organisms. It facilitates the cleavage of peptide bonds by a hydrolysis reaction, which despite being thermodynamically favorable, occurs extremely slowly in the absence of a catalyst. The main substrates of chymotrypsin are peptide bonds in which the amino acid N-terminal to the bond is a tryptophan, tyrosine, phenylalanine, or leucine. Like many proteases, chymotrypsin also hydrolyses amide bonds ""in vitro"", a virtue that enabled the use of substrate analogs such as N-acetyl-L-phenylalanine p-nitrophenyl amide for enzyme assays.
"
how many votes to approve supreme court justice	"Once the committee reports out the nomination, it is put before the whole Senate for final consideration. A simple majority vote is required to confirm or to reject a nominee. Historically, such rejections are relatively uncommon. Of the 37 unsuccessful Supreme Court nominations since 1789, only 11 nominees have been rejected in a Senate roll-call vote. The most recent rejection of a nominee by vote of the full Senate came in October 1987, when the nomination of Robert Bork as an associate justice was rebuffed by a 42–58 vote.
"
when does star trek discovery season 1 end	"""Star Trek: Discovery"" premiered at the ArcLight Hollywood on September 19, 2017. The first episode aired in a ""preview broadcast"" on CBS in the United States on September 24, and was made available for free on CBS All Access along with the second episode (which required an All Access subscription). Subsequent first-run episodes, making up the first chapter of the season, were streamed weekly on All Access through November 5. The second chapter streamed from January 7 to February 11, 2018.
"
what is the 180 degree line of longitude called	"180th meridian
"
the creation of human beings in the kumulipo happens during which wā or period of creation	"Kuligi was previously known variously as Kullygy, Kullig, Kullingen (from 14.07.1908) and Kulingen (from 03.10.1908). From 1773, just after the time of the First Partition of Poland, it was part of the new province of West Prussia. Its population was mixed German and Polish. In 1905 it had a population of 165. From 1905 onwards, the village expanded with the arrival of a number of ethnic German farming families who were resettling from the Black Sea area of the Russian empire. They built new houses, a Baptist chapel, Lutheran chapel and a post office close to the railway station at Seinskau. The Baptist chapel (now a shop) and the post office remain. By 1910 there were 324 inhabitants in the village.
"
who owns the dower house in the archers	"Alistair was mainly written by David Gaider—the lead writer of ""Origins""—and is voiced by Steve Valentine. Alistair is a relatively new Grey Warden, who are a group devoted to fighting darkspawn. He's believed to be the secret son of King Maric and a serving girl, and was originally raised in Redcliffe Castle by Arl Eamon after his mother's death. However, he was later given to the Chantry for training as a templar, a military order who are trained to kill ""apostates"" (mages outside of the Circle of Magi) and watch over the Circle of Magi. Alistair is described as having a ""wry sense of humor"", and makes many sarcastic remarks during the game.
"
who sings i want to be a rockstar	"""Rockstar"" is the fifth U.S. single by the Canadian rock band Nickelback from their fifth album, ""All the Right Reasons"" (2005). It was initially only released in the United States and Canada, and has since been re-released worldwide. The lyrics feature the pretentious, materialistic desires of a wannabe rockstar, who craves money, cars and women. Spoken-word vocals between each verse are provided by Billy Gibbons of ZZ Top.
"
how many episodes of touching evil are there	"The thirteenth season of ""Supernatural"", an American dark fantasy television series created by Eric Kripke, premiered on October 12, 2017, on The CW and concluded on May 17, 2018. The season consists of 23 episodes and aired on Thursdays at 8:00 pm (ET). This is the second season with Andrew Dabb and Robert Singer as showrunners.
"
when was the first book made into a movie	"The Book Thief is a 2013 World War II war drama film directed by Brian Percival and starring Geoffrey Rush, Emily Watson, and Sophie Nélisse. The film is based on the 2005 novel of the same name by Markus Zusak and adapted by Michael Petroni. The film is about a young girl living with her adoptive German family during the Nazi era. Taught to read by her kind-hearted foster father, the girl begins ""borrowing"" books and sharing them with the Jewish refugee being sheltered by her foster parents in their home. The film features a musical score by Oscar-winning composer John Williams.
"
where did the term liberal arts come from	"Rooted in the basic curriculum – the or ""education in a circle"" – of late Classical and Hellenistic Greece, the ""liberal arts"" or ""liberal pursuits"" (Latin ) were already so called in formal education during the Roman Empire. The first recorded use of the term ""liberal arts"" () occurs in by Marcus Tullius Cicero, but it is unclear if he created the term. Seneca the Younger discusses liberal arts in education from a critical Stoic point of view in ""Moral Epistles"". The exact classification of the liberal arts varied however in Roman times, and it was only after Martianus Capella in the 5th century AD influentially brought the seven liberal arts as bridesmaids to the ""Marriage of Mercury and Philology"", that they took on canonical form.
"
which body system differentiates a male from a female	"Sex differences in humans have been studied in a variety of fields. In humans, biological sex is determined by five factors present at birth: the presence or absence of a Y chromosome, the type of gonads, the sex hormones, the internal reproductive anatomy (such as the uterus), and the external genitalia. Genetic sex is determined solely by the presence or absence of a Y chromosome. Phenotypic sex refers to an individual's sex as determined by their internal and external genitalia, expression of secondary sex characteristics, and behavior. 
"
when was the suite life of zack and cody made	"The Suite Life of Zack & Cody is an American teen sitcom created by Danny Kallis and Jim Geoghan. The series aired on Disney Channel from March 18, 2005, to September 1, 2008 with 4 million viewers, making it the most successful premiere for Disney Channel. The series was nominated for an Emmy Award three times and was nominated for a Nickelodeon Kids' Choice Award three times. 
"
who is the actor that plays sneaky pete	"Sneaky Pete is an American crime drama series created by David Shore and Bryan Cranston. The series follows Marius Josipović (Giovanni Ribisi), a released convict who adopts the identity of his cell mate, Pete Murphy, in order to avoid his past life. The series also stars Marin Ireland, Shane McRae, Libe Barer, Michael Drayer, Peter Gerety, and Margo Martindale. The pilot debuted on August 7, 2015, and was followed by a full series order that September. Shore left the project in early 2016 and was replaced by Graham Yost, who served as executive producer and showrunner for the remaining nine episodes. The first season premiered in its entirety on January 13, 2017, exclusively on Prime Video. On January 19, 2017, Amazon announced that ""Sneaky Pete"" had been renewed for a second season, which was released on March 9, 2018. On July 28, 2018, Amazon announced that the series had been renewed for a third season, which was released on May 10, 2019.
"
why does kerosene oil rise up in the wick of lantern	"A kerosene lamp (also known as a paraffin lamp in some countries) is a type of lighting device that uses kerosene as a fuel. The practical kerosene-fueled lamp was invented by the Polish pharmacist Ignacy Łukasiewicz in Lviv in 1853, as significant improvement over lamps designed to burn vegetable or sperm oil. Kerosene lamps have a wick or mantle as light source, protected by a glass chimney or globe; lamps may be used on a table, or hand-held lanterns may be used for portable lighting. Like oil lamps, they are useful for lighting without electricity, such as in regions without rural electrification, in electrified areas during power outages, at campsites, and on boats. There are three types of kerosene lamp: flat-wick, central-draught (tubular round wick), and mantle lamp. Kerosene lanterns meant for portable use have a flat wick and are made in dead-flame, hot-blast, and cold-blast variants.
"
when did they replace lead with graphite in pencils	"As a technique for drawing, the closest predecessor to the pencil was silverpoint until in 1565 (some sources say as early as 1500), a large deposit of graphite was discovered on the approach to Grey Knotts from the hamlet of Seathwaite in Borrowdale parish, Cumbria, England. This particular deposit of graphite was extremely pure and solid, and it could easily be sawn into sticks. It remains the only large-scale deposit of graphite ever found in this solid form. Chemistry was in its infancy and the substance was thought to be a form of lead. Consequently, it was called ""plumbago"" (Latin for ""lead ore""). Because the pencil core is still referred to as ""lead"", or a ""lead"", many people have the misconception that the graphite in the pencil is lead, and the black core of pencils is still referred to as ""lead"", even though it never contained the element lead. The words for pencil in German (""bleistift""), Irish (""peann luaidhe""), Arabic (قلم رصاص ""qalam raṣāṣ""), and some other languages literally mean ""lead pen"".
"
when did the study of media effects begin	"The social impact of mass communication has been studied at The New School University in New York since its founding in 1919. The first college course to investigate the motion picture was offered here in 1926. Marshall McLuhan's colleague, John Culkin, brought his Center for Understanding Media to The New School in 1975 and The New School began offering the Master of Arts degree in Media Studies, one of the first graduate programs of its kind. Today, among other programs, MA in Media Studies is still being offered by School of Media Studies, The New School, which will celebrate 40th anniversary of Media Studies at The New School during the academic year 2015-2016
"
trick taking card game name derived from spanish for man	"Skat (card game)
"
who sang never gonna let you go	"""Never Gonna Let You Go"" is a popular song from 1983 credited to Brazilian musician and bandleader Sérgio Mendes and sung by Joe Pizzulo and Leeza Miller. Songwriters Cynthia Weil (lyrics) and Barry Mann (music) composed the song, which appears on Mendes' 1983 self-titled album.
"
when did skiing halfpipe become an olympic event	"Half-pipe skiing is the sport of riding snow skis on a half-pipe. Competitors perform a series of tricks while going down the pipe. The current world record for highest jump in a half-pipe is held by Joffrey Pollet-Villard, with . The sport is considered to be dangerous compared to other sports, and helmets are required to be worn during competitions. Half-pipe skiing has been part of the Winter X Games since 2002, and made its Olympic debut at the 2014 Winter Olympics in Sochi, Russia. David Wise of the United States of America became the first Olympic champion in this discipline with a total of 92.00 points.
"
who did the whistling in the muppet movie	"Later in the film, Walter starts to question whether he is man, which he was believed to be his entire life, or actually a Muppet, which was why he always felt a strong connection towards them. This emotion eventually leads him to sing the Academy Award-winning song, ""Man or Muppet"", where the human version of Walter is portrayed by actor Jim Parsons. The scene is pivotal to the character's arc as it resolves Walter's internal issues with himself. The character's solo act of whistling in the telethon's finale was performed by musician Andrew Bird. At the conclusion of the film, Walter deduces that he is a Muppet, adopts whistling as his sole talent and joins the group as their newest member.
"
who sings the song it ain't me	"The lyrics of ""It Ain't Me"" were written by Andrew Watt, Brian Lee and Ali Tamposi. With Watt previously working with Kygo, the DJ's manager Myles Shear contacted Watt for a session with Kygo which Watt also facilitated for Lee and Tamposi. During their session for ""It Ain't Me"", they initially found the track very poor, but were trying to salvage it. Kygo and Shear suggested that they continue working on the song. After Kygo and Shear had left, Tamposi told Watt and Lee to play guitar and ""Fleetwood Mac it"", spawning a 45-minute jam session as well as the demo of ""It Ain't Me"", a simple acoustic guitar recording with Tamposi on vocals.
"
who sings it's my party and i cry if i want to	"It's My Party (Lesley Gore song)
"
where is natural gas found in the us	"The leading gas-producing area in the United States in 2013 was Texas (7,545 Billion cubic feet (BCF), followed by Pennsylvania (3,259 BCF), and Louisiana (2,407 BCF).
"
when did the us stop trading with japan	"A series of events led to the attack on Pearl Harbor. War between Japan and the United States had been a possibility that each nation's military forces planned for in the 1920s, though real tension did not begin until the 1931 invasion of Manchuria by Japan. Over the next decade, Japan expanded slowly into China, leading to the Second Sino-Japanese war in 1937. In 1940 Japan invaded French Indochina in an effort to embargo all imports into China, including war supplies purchased from the U.S. This move prompted the United States to embargo all oil exports, leading the Imperial Japanese Navy (IJN) to estimate it had less than two years of bunker oil remaining and to support the existing plans to seize oil resources in the Dutch East Indies. Planning had been underway for some time on an attack on the ""Southern Resource Area"" to add it to the Greater East Asia Co-Prosperity Sphere Japan envisioned in the Pacific.
"
what category was hurricane charley when it hit florida	"Hurricane Charley was the first of four individual hurricanes to impact or strike Florida during 2004, along with Frances, Ivan and Jeanne, as well as one of the strongest hurricanes ever to strike the United States. It was the third named storm, the second hurricane, and the second major hurricane of the 2004 Atlantic hurricane season. Charley lasted from August 9 to 15, and at its peak intensity it attained winds, making it a strong Category 4 hurricane on the Saffir-Simpson Hurricane Scale. It made landfall in Southwest Florida at maximum strength, making it the strongest hurricane to hit the United States since Hurricane Andrew struck Florida in 1992 and the strongest hurricane to hit southwest Florida since Hurricane Donna in 1960.
"
to transplant a nucleus from one cell to another cell a scientist would use	"Cell nucleus
"
where does trick or treat for unicef money go	"In 1953, the United States Committee for UNICEF, later renamed the U.S. Fund for UNICEF, started actively promoting the program. By the 1960s, the concept had expanded throughout the United States, with small orange collection boxes distributed to millions of trick-or-treaters. When UNICEF won the Nobel Peace Prize in 1965, U.S. President Lyndon B. Johnson said in his congratulatory letter: ""Your UNICEF Trick or Treat Day has helped turn a holiday too often marred by youthful vandalism into a program of basic training in world citizenship."" In 1967, Johnson declared Halloween, October 31, to be ""UNICEF Day"" in the United States; by 1969, 3.5 million American children were trick-or-treating for donations. Children (and adults) in the U.S. have collected more than $175 million for Trick-or-Treat for UNICEF. Donations to Trick-or-Treat for UNICEF support UNICEF's global programing, but in 2005, half of the proceeds were targeted to a domestic cause, aiding victims of Hurricane Katrina. In 2008, the U.S. Fund for UNICEF introduced mobile phone text message donations as well as a MySpace and Facebook page. In 2014, the U.S. Fund for UNICEF partnered with Crowdrise to expand the campaign's online presence, allowing participants to create personal fundraising web pages in addition to traditional door-to-door trick-or-treating.
"
chandra and bhaga river meets at the place	"The Chandrabhaga or Chenab (Vedic name Askni), the largest river (in terms of volume of water) is formed after the meeting of two streams namely, Chandra and Bhaga at Tandi, in Lahaul. It flows and covers an area of . in Himachal, before entering Kashmir. The Chandra passes through the barren tribal land.
"
where is dakar located on the world map	"Dakar (; ; ) is the capital and largest city of Senegal. The city of Dakar proper has a population of 1,030,594, whereas the population of the Dakar metropolitan area is estimated at 2.45 million.
"
when's the last time army won the army navy game	"For much of the first half of the 20th century, both Army and Navy were often national powers, and the game occasionally had national championship implications. However, since 1963, only the 1996, 2010, 2016 and 2017 games have seen both teams enter with winning records. Nonetheless, the game is considered a college football institution. It has aired nationally on radio since 1930, and has been nationally televised every year since 1945.
"
who won the icc under 19 world cup 2018	"The 2019 ICC Cricket World Cup was the 12th Cricket World Cup, a quadrennial, One Day International cricket tournament contested by men's national teams and organised by the International Cricket Council (ICC). It was hosted by England and Wales, making it the fifth time England has hosted the World Cup, beginning on 30 May and ending with the final on 14 July. The final was played at Lord's in London, where England beat New Zealand on boundary count after both the match and the subsequent Super Over finished as ties.
"
who is the voice of the other mother in coraline	"Coraline is a 2009 American 3D stop-motion animated dark fantasy horror film directed by Henry Selick and based on Neil Gaiman's 2002 novel of the same name. Produced by Laika as its first feature film, ""Coraline"" stars the voices of Dakota Fanning, Teri Hatcher, Robert Bailey Jr., Jennifer Saunders, Dawn French, Keith David, Ian McShane, and John Hodgman. The film depicts an adventurous girl named Coraline finding an idealized parallel world behind a secret door in her new home, unaware that the alternative world contains a dark and sinister secret. 
"
who sings the theme song for the proud family	"The Proud Family is a soundtrack album for the show of the same name. A combination of both original tunes by the characters in the show, popular hits by popular music artists such as Alicia Keys, Jhené Aiko, India Arie, and Solange Knowles & Destiny's Child (who perform the theme song), and classic soul music from artists such as Aretha Franklin and The O'Jays.
"
what is the job of the whip in congress	"A whip is an official of a political party whose task is to ensure party discipline in a legislature. This usually means ensuring that members of the party vote according to the party platform, rather than according to their own individual ideology or the will of their constituents. Whips are the party's ""enforcers"". They ensure their fellow legislators attend voting sessions and vote according to official party policy. 
"
who is known as the father of indian constitution	"Bhimrao Ramji Ambedkar (14 April 1891 – 6 December 1956), popularly known as Dr. Babasaheb Ambedkar, was an Indian jurist, economist, politician and social reformer who inspired the Dalit Buddhist movement and campaigned against social discrimination towards the untouchables (""Dalits""), while also supporting the rights of women and labour. He was independent India's first law and justice minister, the principal architect of the Constitution of India, and a founding father of the Republic of India. In India and elsewhere, he was often called ""Babasaheb"", meaning ""respected father"" in Marathi and Hindi.
"
what type of writing did ancient egypt use	"Egyptian hieroglyphs
"
when does the new gotham season come out	"On July 20, 2013, as part of the San Diego Comic-Con, DC Comics announced on Twitter a new animated feature ""Son of Batman"". The film is based on Grant Morrison's ""Batman and Son"" storyline. While Jason O'Mara reprises his role of Batman from """" and David McCallum reprises his role of Alfred Pennyworth from """", the rest of the voice cast consists of Stuart Allan as Damian Wayne, Sean Maher as Nightwing, Morena Baccarin as Talia al Ghul, Giancarlo Esposito as Ra's al Ghul, Xander Berkeley as Kirk Langstrom, and Thomas Gibson as Deathstroke. The film was released on May 6, 2014.
"
where was harry potter and the deathly hallows part 1 filmed	"Filming took place in British Columbia, in the Abbotsford, Vancouver and Langley areas in August 2017, with a mansion in the Aldergrove area of Langely serving as the property at the centre of the story.
"
